$OR;D2 
* From-Time  To-Time 
8.00 9.00
* Factor 
1.00
taz_0 taz_0 17.0
taz_0 taz_1 9.0
taz_0 taz_10 9.0
taz_0 taz_11 2.0
taz_0 taz_12 1.0
taz_0 taz_13 17.0
taz_0 taz_14 4.0
taz_0 taz_15 22.0
taz_0 taz_16 19.0
taz_0 taz_17 7.0
taz_0 taz_18 3.0
taz_0 taz_19 18.0
taz_0 taz_2 7.0
taz_0 taz_20 7.0
taz_0 taz_21 3.0
taz_0 taz_22 11.0
taz_0 taz_3 6.0
taz_0 taz_4 2.0
taz_0 taz_5 10.0
taz_0 taz_6 3.0
taz_0 taz_7 23.0
taz_0 taz_8 11.0
taz_0 taz_23 20.0
taz_1 taz_0 9.0
taz_1 taz_1 24.0
taz_1 taz_10 11.0
taz_1 taz_11 7.0
taz_1 taz_12 13.0
taz_1 taz_13 14.0
taz_1 taz_14 16.0
taz_1 taz_15 8.0
taz_1 taz_16 10.0
taz_1 taz_17 1.0
taz_1 taz_18 5.0
taz_1 taz_19 6.0
taz_1 taz_2 5.0
taz_1 taz_20 12.0
taz_1 taz_21 15.0
taz_1 taz_22 3.0
taz_1 taz_3 6.0
taz_1 taz_4 14.0
taz_1 taz_5 3.0
taz_1 taz_6 1.0
taz_1 taz_7 5.0
taz_1 taz_8 16.0
taz_1 taz_23 8.0
taz_10 taz_0 16.0
taz_10 taz_1 6.0
taz_10 taz_10 5.0
taz_10 taz_11 6.0
taz_10 taz_12 7.0
taz_10 taz_13 2.0
taz_10 taz_14 22.0
taz_10 taz_15 18.0
taz_10 taz_16 10.0
taz_10 taz_17 16.0
taz_10 taz_18 17.0
taz_10 taz_19 14.0
taz_10 taz_2 14.0
taz_10 taz_20 2.0
taz_10 taz_21 4.0
taz_10 taz_22 15.0
taz_10 taz_3 3.0
taz_10 taz_4 10.0
taz_10 taz_5 15.0
taz_10 taz_6 8.0
taz_10 taz_7 10.0
taz_10 taz_8 18.0
taz_10 taz_23 4.0
taz_11 taz_0 5.0
taz_11 taz_1 5.0
taz_11 taz_10 10.0
taz_11 taz_11 11.0
taz_11 taz_12 2.0
taz_11 taz_13 2.0
taz_11 taz_14 16.0
taz_11 taz_15 14.0
taz_11 taz_16 1.0
taz_11 taz_17 3.0
taz_11 taz_18 1.0
taz_11 taz_19 2.0
taz_11 taz_2 4.0
taz_11 taz_20 14.0
taz_11 taz_21 10.0
taz_11 taz_22 14.0
taz_11 taz_3 15.0
taz_11 taz_4 4.0
taz_11 taz_5 29.0
taz_11 taz_6 3.0
taz_11 taz_7 9.0
taz_11 taz_8 14.0
taz_11 taz_23 18.0
taz_12 taz_0 28.0
taz_12 taz_1 8.0
taz_12 taz_10 5.0
taz_12 taz_11 5.0
taz_12 taz_12 6.0
taz_12 taz_13 5.0
taz_12 taz_14 2.0
taz_12 taz_15 5.0
taz_12 taz_16 19.0
taz_12 taz_17 2.0
taz_12 taz_18 5.0
taz_12 taz_19 5.0
taz_12 taz_2 15.0
taz_12 taz_20 23.0
taz_12 taz_21 22.0
taz_12 taz_22 22.0
taz_12 taz_3 42.0
taz_12 taz_4 10.0
taz_12 taz_5 2.0
taz_12 taz_6 4.0
taz_12 taz_7 2.0
taz_12 taz_8 21.0
taz_12 taz_23 14.0
taz_13 taz_0 5.0
taz_13 taz_1 2.0
taz_13 taz_10 16.0
taz_13 taz_11 15.0
taz_13 taz_12 2.0
taz_13 taz_13 1.0
taz_13 taz_14 16.0
taz_13 taz_15 5.0
taz_13 taz_16 10.0
taz_13 taz_17 13.0
taz_13 taz_18 11.0
taz_13 taz_19 5.0
taz_13 taz_2 4.0
taz_13 taz_20 9.0
taz_13 taz_21 12.0
taz_13 taz_22 4.0
taz_13 taz_3 13.0
taz_13 taz_4 19.0
taz_13 taz_5 11.0
taz_13 taz_6 10.0
taz_13 taz_7 23.0
taz_13 taz_8 27.0
taz_13 taz_23 15.0
taz_14 taz_0 14.0
taz_14 taz_1 11.0
taz_14 taz_10 5.0
taz_14 taz_11 14.0
taz_14 taz_12 23.0
taz_14 taz_13 9.0
taz_14 taz_14 1.0
taz_14 taz_15 5.0
taz_14 taz_16 12.0
taz_14 taz_17 18.0
taz_14 taz_18 5.0
taz_14 taz_19 5.0
taz_14 taz_2 33.0
taz_14 taz_20 5.0
taz_14 taz_21 5.0
taz_14 taz_22 11.0
taz_14 taz_3 9.0
taz_14 taz_4 21.0
taz_14 taz_5 18.0
taz_14 taz_6 12.0
taz_14 taz_7 4.0
taz_14 taz_8 8.0
taz_14 taz_23 6.0
taz_15 taz_0 10.0
taz_15 taz_1 16.0
taz_15 taz_10 16.0
taz_15 taz_11 7.0
taz_15 taz_12 17.0
taz_15 taz_13 18.0
taz_15 taz_14 7.0
taz_15 taz_15 6.0
taz_15 taz_16 27.0
taz_15 taz_17 5.0
taz_15 taz_18 2.0
taz_15 taz_19 8.0
taz_15 taz_2 9.0
taz_15 taz_20 13.0
taz_15 taz_21 11.0
taz_15 taz_22 11.0
taz_15 taz_3 6.0
taz_15 taz_4 1.0
taz_15 taz_5 22.0
taz_15 taz_6 5.0
taz_15 taz_7 18.0
taz_15 taz_8 11.0
taz_15 taz_23 16.0
taz_16 taz_0 12.0
taz_16 taz_1 3.0
taz_16 taz_10 6.0
taz_16 taz_11 9.0
taz_16 taz_12 13.0
taz_16 taz_13 8.0
taz_16 taz_14 1.0
taz_16 taz_15 1.0
taz_16 taz_16 4.0
taz_16 taz_17 3.0
taz_16 taz_18 9.0
taz_16 taz_19 6.0
taz_16 taz_2 13.0
taz_16 taz_20 23.0
taz_16 taz_21 4.0
taz_16 taz_22 7.0
taz_16 taz_3 2.0
taz_16 taz_4 7.0
taz_16 taz_5 7.0
taz_16 taz_6 17.0
taz_16 taz_7 27.0
taz_16 taz_8 6.0
taz_16 taz_23 6.0
taz_17 taz_0 5.0
taz_17 taz_1 2.0
taz_17 taz_10 3.0
taz_17 taz_11 2.0
taz_17 taz_12 9.0
taz_17 taz_13 9.0
taz_17 taz_14 15.0
taz_17 taz_15 1.0
taz_17 taz_16 9.0
taz_17 taz_17 19.0
taz_17 taz_18 2.0
taz_17 taz_19 4.0
taz_17 taz_2 6.0
taz_17 taz_20 10.0
taz_17 taz_21 6.0
taz_17 taz_22 13.0
taz_17 taz_3 23.0
taz_17 taz_4 22.0
taz_17 taz_5 7.0
taz_17 taz_6 1.0
taz_17 taz_7 7.0
taz_17 taz_8 24.0
taz_17 taz_23 13.0
taz_18 taz_0 2.0
taz_18 taz_1 6.0
taz_18 taz_10 20.0
taz_18 taz_11 7.0
taz_18 taz_12 6.0
taz_18 taz_13 15.0
taz_18 taz_14 10.0
taz_18 taz_15 8.0
taz_18 taz_16 16.0
taz_18 taz_17 16.0
taz_18 taz_18 2.0
taz_18 taz_19 13.0
taz_18 taz_2 6.0
taz_18 taz_20 14.0
taz_18 taz_21 4.0
taz_18 taz_22 9.0
taz_18 taz_3 3.0
taz_18 taz_4 12.0
taz_18 taz_5 7.0
taz_18 taz_6 12.0
taz_18 taz_7 5.0
taz_18 taz_8 5.0
taz_18 taz_23 20.0
taz_19 taz_0 16.0
taz_19 taz_1 18.0
taz_19 taz_10 8.0
taz_19 taz_11 1.0
taz_19 taz_12 20.0
taz_19 taz_13 1.0
taz_19 taz_14 9.0
taz_19 taz_15 11.0
taz_19 taz_16 17.0
taz_19 taz_17 31.0
taz_19 taz_18 8.0
taz_19 taz_19 11.0
taz_19 taz_2 5.0
taz_19 taz_20 22.0
taz_19 taz_21 20.0
taz_19 taz_22 20.0
taz_19 taz_3 13.0
taz_19 taz_4 37.0
taz_19 taz_5 2.0
taz_19 taz_6 12.0
taz_19 taz_7 1.0
taz_19 taz_8 29.0
taz_19 taz_23 12.0
taz_2 taz_0 3.0
taz_2 taz_1 7.0
taz_2 taz_10 9.0
taz_2 taz_11 5.0
taz_2 taz_12 11.0
taz_2 taz_13 3.0
taz_2 taz_14 4.0
taz_2 taz_15 21.0
taz_2 taz_16 1.0
taz_2 taz_17 11.0
taz_2 taz_18 22.0
taz_2 taz_19 21.0
taz_2 taz_2 9.0
taz_2 taz_20 2.0
taz_2 taz_21 16.0
taz_2 taz_22 23.0
taz_2 taz_3 7.0
taz_2 taz_4 13.0
taz_2 taz_5 10.0
taz_2 taz_6 12.0
taz_2 taz_7 1.0
taz_2 taz_8 23.0
taz_2 taz_23 6.0
taz_20 taz_0 6.0
taz_20 taz_1 6.0
taz_20 taz_10 20.0
taz_20 taz_11 2.0
taz_20 taz_12 8.0
taz_20 taz_13 3.0
taz_20 taz_14 14.0
taz_20 taz_15 4.0
taz_20 taz_16 5.0
taz_20 taz_17 18.0
taz_20 taz_18 13.0
taz_20 taz_19 8.0
taz_20 taz_2 4.0
taz_20 taz_20 1.0
taz_20 taz_21 2.0
taz_20 taz_22 15.0
taz_20 taz_3 3.0
taz_20 taz_4 6.0
taz_20 taz_5 21.0
taz_20 taz_6 5.0
taz_20 taz_7 16.0
taz_20 taz_8 16.0
taz_20 taz_23 4.0
taz_21 taz_0 12.0
taz_21 taz_1 7.0
taz_21 taz_10 14.0
taz_21 taz_11 9.0
taz_21 taz_12 20.0
taz_21 taz_13 5.0
taz_21 taz_14 21.0
taz_21 taz_15 14.0
taz_21 taz_16 0.0
taz_21 taz_17 4.0
taz_21 taz_18 9.0
taz_21 taz_19 14.0
taz_21 taz_2 4.0
taz_21 taz_20 23.0
taz_21 taz_21 20.0
taz_21 taz_22 17.0
taz_21 taz_3 8.0
taz_21 taz_4 33.0
taz_21 taz_5 6.0
taz_21 taz_6 25.0
taz_21 taz_7 6.0
taz_21 taz_8 10.0
taz_21 taz_23 18.0
taz_22 taz_0 1.0
taz_22 taz_1 12.0
taz_22 taz_10 23.0
taz_22 taz_11 15.0
taz_22 taz_12 7.0
taz_22 taz_13 2.0
taz_22 taz_14 15.0
taz_22 taz_15 17.0
taz_22 taz_16 7.0
taz_22 taz_17 4.0
taz_22 taz_18 13.0
taz_22 taz_19 15.0
taz_22 taz_2 5.0
taz_22 taz_20 9.0
taz_22 taz_21 5.0
taz_22 taz_22 16.0
taz_22 taz_3 21.0
taz_22 taz_4 5.0
taz_22 taz_5 10.0
taz_22 taz_6 10.0
taz_22 taz_7 6.0
taz_22 taz_8 12.0
taz_22 taz_23 8.0
taz_3 taz_0 7.0
