$OR;D2 
* From-Time  To-Time 
7.00 8.00
* Factor 
1.00
taz_0 taz_0 12.0
taz_0 taz_1 7.0
taz_0 taz_10 6.0
taz_0 taz_11 1.0
taz_0 taz_12 1.0
taz_0 taz_13 12.0
taz_0 taz_14 2.0
taz_0 taz_15 15.0
taz_0 taz_16 14.0
taz_0 taz_17 5.0
taz_0 taz_18 2.0
taz_0 taz_19 13.0
taz_0 taz_2 6.0
taz_0 taz_20 5.0
taz_0 taz_21 2.0
taz_0 taz_22 8.0
taz_0 taz_3 4.0
taz_0 taz_4 2.0
taz_0 taz_5 7.0
taz_0 taz_6 2.0
taz_0 taz_7 16.0
taz_0 taz_8 8.0
taz_0 taz_23 15.0
taz_1 taz_0 7.0
taz_1 taz_1 16.0
taz_1 taz_10 8.0
taz_1 taz_11 6.0
taz_1 taz_12 9.0
taz_1 taz_13 10.0
taz_1 taz_14 11.0
taz_1 taz_15 6.0
taz_1 taz_16 8.0
taz_1 taz_17 1.0
taz_1 taz_18 4.0
taz_1 taz_19 5.0
taz_1 taz_2 3.0
taz_1 taz_20 8.0
taz_1 taz_21 11.0
taz_1 taz_22 2.0
taz_1 taz_3 4.0
taz_1 taz_4 10.0
taz_1 taz_5 2.0
taz_1 taz_6 1.0
taz_1 taz_7 3.0
taz_1 taz_8 12.0
taz_1 taz_23 6.0
taz_10 taz_0 11.0
taz_10 taz_1 5.0
taz_10 taz_10 3.0
taz_10 taz_11 5.0
taz_10 taz_12 5.0
taz_10 taz_13 2.0
taz_10 taz_14 16.0
taz_10 taz_15 12.0
taz_10 taz_16 7.0
taz_10 taz_17 11.0
taz_10 taz_18 13.0
taz_10 taz_19 10.0
taz_10 taz_2 10.0
taz_10 taz_20 2.0
taz_10 taz_21 3.0
taz_10 taz_22 11.0
taz_10 taz_3 2.0
taz_10 taz_4 7.0
taz_10 taz_5 10.0
taz_10 taz_6 5.0
taz_10 taz_7 7.0
taz_10 taz_8 14.0
taz_10 taz_23 3.0
taz_11 taz_0 4.0
taz_11 taz_1 4.0
taz_11 taz_10 7.0
taz_11 taz_11 7.0
taz_11 taz_12 2.0
taz_11 taz_13 2.0
taz_11 taz_14 12.0
taz_11 taz_15 11.0
taz_11 taz_16 1.0
taz_11 taz_17 2.0
taz_11 taz_18 1.0
taz_11 taz_19 2.0
taz_11 taz_2 3.0
taz_11 taz_20 10.0
taz_11 taz_21 7.0
taz_11 taz_22 10.0
taz_11 taz_3 10.0
taz_11 taz_4 3.0
taz_11 taz_5 21.0
taz_11 taz_6 2.0
taz_11 taz_7 6.0
taz_11 taz_8 10.0
taz_11 taz_23 12.0
taz_12 taz_0 19.0
taz_12 taz_1 6.0
taz_12 taz_10 3.0
taz_12 taz_11 3.0
taz_12 taz_12 4.0
taz_12 taz_13 3.0
taz_12 taz_14 2.0
taz_12 taz_15 3.0
taz_12 taz_16 14.0
taz_12 taz_17 2.0
taz_12 taz_18 3.0
taz_12 taz_19 4.0
taz_12 taz_2 11.0
taz_12 taz_20 17.0
taz_12 taz_21 16.0
taz_12 taz_22 14.0
taz_12 taz_3 29.0
taz_12 taz_4 7.0
taz_12 taz_5 2.0
taz_12 taz_6 3.0
taz_12 taz_7 1.0
taz_12 taz_8 15.0
taz_12 taz_23 10.0
taz_13 taz_0 4.0
taz_13 taz_1 2.0
taz_13 taz_10 12.0
taz_13 taz_11 11.0
taz_13 taz_12 2.0
taz_13 taz_13 1.0
taz_13 taz_14 11.0
taz_13 taz_15 3.0
taz_13 taz_16 7.0
taz_13 taz_17 9.0
taz_13 taz_18 8.0
taz_13 taz_19 4.0
taz_13 taz_2 3.0
taz_13 taz_20 7.0
taz_13 taz_21 8.0
taz_13 taz_22 3.0
taz_13 taz_3 9.0
taz_13 taz_4 13.0
taz_13 taz_5 8.0
taz_13 taz_6 7.0
taz_13 taz_7 16.0
taz_13 taz_8 19.0
taz_13 taz_23 10.0
taz_14 taz_0 10.0
taz_14 taz_1 9.0
taz_14 taz_10 4.0
taz_14 taz_11 10.0
taz_14 taz_12 17.0
taz_14 taz_13 6.0
taz_14 taz_14 1.0
taz_14 taz_15 3.0
taz_14 taz_16 9.0
taz_14 taz_17 13.0
taz_14 taz_18 4.0
taz_14 taz_19 4.0
taz_14 taz_2 24.0
taz_14 taz_20 3.0
taz_14 taz_21 4.0
taz_14 taz_22 7.0
taz_14 taz_3 6.0
taz_14 taz_4 15.0
taz_14 taz_5 12.0
taz_14 taz_6 8.0
taz_14 taz_7 3.0
taz_14 taz_8 6.0
taz_14 taz_23 4.0
taz_15 taz_0 8.0
taz_15 taz_1 11.0
taz_15 taz_10 12.0
taz_15 taz_11 5.0
taz_15 taz_12 12.0
taz_15 taz_13 14.0
taz_15 taz_14 5.0
taz_15 taz_15 5.0
taz_15 taz_16 20.0
taz_15 taz_17 4.0
taz_15 taz_18 2.0
taz_15 taz_19 5.0
taz_15 taz_2 6.0
taz_15 taz_20 9.0
taz_15 taz_21 7.0
taz_15 taz_22 8.0
taz_15 taz_3 5.0
taz_15 taz_4 1.0
taz_15 taz_5 16.0
taz_15 taz_6 4.0
taz_15 taz_7 13.0
taz_15 taz_8 9.0
taz_15 taz_23 11.0
taz_16 taz_0 9.0
taz_16 taz_1 2.0
taz_16 taz_10 4.0
taz_16 taz_11 6.0
taz_16 taz_12 9.0
taz_16 taz_13 6.0
taz_16 taz_14 1.0
taz_16 taz_15 1.0
taz_16 taz_16 3.0
taz_16 taz_17 2.0
taz_16 taz_18 6.0
